こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　,9.0,6.4,62.2,292.5400000000001,507.43
こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　,10.9,20.1,56.6,157.30000000000004,624.48
こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　乾　,12.2,1.9,73.9,30.82,524.0
こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ゆで　,5.4,0.9,32.0,8.99,140.89
こむぎ　［マカロニ・スパゲッティ類］　生パスタ　生　,7.8,1.9,46.9,12.01,180.44
こむぎ　［ふ類］　生ふ　　,12.7,0.8,26.2,7.8500000000000005,125.39
こむぎ　［ふ類］　焼きふ　釜焼きふ　,28.5,2.7,56.9,26.189999999999998,331.82
こむぎ　［ふ類］　焼きふ　板ふ　,25.6,3.3,57.3,29.63,570.8299999999999
こむぎ　［ふ類］　焼きふ　車ふ　,30.2,3.4,54.2,15.73,346.55
こむぎ　［その他］　小麦はいが　　,32.0,11.6,48.3,573.4100000000001,2578.19
こむぎ　［その他］　小麦たんぱく　粉末状　,72.0,9.7,10.6,53.760000000000005,435.02000000000004
こむぎ　［その他］　小麦たんぱく　粒状　,20.0,2.0,1.8,7.34,91.04
こむぎ　［その他］　小麦たんぱく　ペースト状　,25.0,4.1,3.9,37.32,290.33
こむぎ　［その他］　ぎょうざの皮　　,9.3,1.4,57.0,13.889999999999999,159.8
こむぎ　［その他］　しゅうまいの皮　　,8.3,1.4,58.9,10.58,166.48
こむぎ　［その他］　ピザ生地　,9.1,3.0,51.1,24.25,204.99
こむぎ　［その他］　ちくわぶ　　,7.1,1.2,31.1,4.59,48.85
こむぎ　［その他］　パン粉　生　,11.0,5.1,47.6,49.88999999999999,263.42
こむぎ　［その他］　パン粉　半生　,12.5,5.8,54.3,58.39,304.7
こむぎ　［その他］　パン粉　乾燥　,14.6,6.8,63.4,67.09,355.11999999999995
こむぎ　［その他］　冷めん　生　,3.9,0.7,57.6,5.87,139.76000000000002
こめ　［水稲穀粒］　玄米　　,6.8,2.7,74.3,44.97,712.2299999999999
こめ　［水稲穀粒］　半つき米　　,6.5,1.8,75.9,27.51,513.74
こめ　［水稲穀粒］　七分つき米　　,6.3,1.5,76.6,21.31,430.08000000000004
